timestamp,task_class,workflow,confidence,input_tokens,output_tokens,total_tokens,retries,fallbacks,tools,elapsed_ms,status,contract_valid,memory_loaded,memory_chars,memory_write_count,memory_dedup_count,memory_compact_kept,skill_id,skill_loaded_chars,skill_fallback
2026-04-07T15:55:07Z,implement,implement-small,0.92,1300,240,1540,0,0,4,2800,pass,true,3,400,1,0,3,eval-driven-improvement,420,false
2026-04-07T20:09:57Z,implement,implement-small,0.91,33,14,47,0,0,3,120,pass,false,3,417,4,0,6,plan-verify-execute,609,false
2026-04-07T20:11:12Z,implement,implement-small,0.9,43,18,61,0,0,3,170,pass,false,2,432,6,0,8,plan-verify-execute,609,false
2026-04-07T20:11:13Z,implement,implement-small,0.9,43,18,61,0,0,3,170,pass,false,2,432,6,0,9,plan-verify-execute,609,false
2026-04-07T20:14:40Z,implement,implement-small,0.9,43,18,61,0,0,3,170,pass,false,2,432,7,0,10,plan-verify-execute,609,false
2026-04-07T20:15:22Z,implement,implement-small,0.9,43,18,61,0,0,3,170,cancelled,false,2,432,7,0,10,plan-verify-execute,609,false
2026-04-07T20:27:37Z,general,plan-only,0.0,43,18,61,0,0,5,170,pass,false,2,374,9,1,12,context-compaction,634,true
2026-04-07T20:31:58Z,general,plan-only,0.0,43,18,61,0,0,5,170,cancelled,false,2,374,9,1,12,context-compaction,634,true
2026-04-07T20:37:04Z,general,plan-only,0.0,43,18,61,0,0,5,170,cancelled,false,2,374,10,2,12,context-compaction,634,true
2026-04-07T20:37:04Z,general,plan-only,0.0,43,18,61,0,0,5,170,cancelled,false,2,374,10,2,12,context-compaction,634,true
2026-04-08T14:12:03Z,general,plan-only,0.0,44,19,63,0,0,6,175,pass,false,2,441,12,5,14,context-compaction,634,true
